id,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
0,2020-11-13,08:03:39,1A,1600 W NORTH AV,HOMICIDE,Outside,FIREARM,733.0,WESTERN,PENN NORTH,-76.643428566377,39.310090997913,,STREET,Western,1
1,2020-11-12,05:34:45,1A,1800 PENNSYLVANIA AV,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,-76.635686123744,39.304297913558,,STREET,,1
2,2020-11-11,03:21:00,1A,4400 PLAINFIELD AV,HOMICIDE,Outside,FIREARM,442.0,NORTHEAST,FRANKFORD,-76.555858977054,39.325888256213,,STREET,,1
3,2020-11-09,12:49:00,1A,1100 BONAPARTE AV,HOMICIDE,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWAY,-76.600648066765,39.315888686647,,STREET,Eastern 1,1
4,2020-11-09,18:49:00,1K,200 BALLOU CT,HOMICIDE,Inside,KNIFE,211.0,SOUTHEAST,PERKINS HOMES,-76.597379589313,39.288545955375,,DWELLING,,1
5,2020-11-08,16:47:00,1O,2600 E MONUMENT ST,HOMICIDE,Inside,OTHER,333.0,EASTERN,MCELDERRY PARK,-76.580415138148,39.298849004035,,DWELLING,Eastern 2,1
6,2020-11-07,04:31:00,1A,2400 CARROLL ST,HOMICIDE,Outside,FIREARM,831.0,SOUTHWEST,MORRELL PARK,-76.649590719227,39.267338002867,,STREET,,1
7,2020-11-07,14:50:00,1A,1800 ORLEANS ST,HOMICIDE,Outside,FIREARM,321.0,EASTERN,DUNBAR-BROADWAY,-76.59131630689,39.295328658036,,HOSPITAL,,1
8,2020-11-06,12:55:39,1O,1800 E LAFAYETTE AV,HOMICIDE,Inside,OTHER,331.0,EASTERN,BROADWAY EAST,-76.592771528632,39.310821440912,,VACANT DWELLING,Eastern 1,1
9,2020-11-04,19:20:00,1K,2800 WOODBROOK AV,HOMICIDE,Outside,KNIFE,732.0,WESTERN,PARKVIEW/WOODBROOK,-76.645667542898,39.313880331339,,PUBLIC AREA,Western,1
10,2020-11-03,18:30:00,1A,1800 AIKEN ST,HOMICIDE,Outside,FIREARM,314.0,EASTERN,OLIVER,-76.601011974982,39.310476209191,,STREET,Eastern 1,1
